emp_no,from_date,to_date
10115,1988-03-03,1992-05-24
10116,1995-12-03,1998-11-01
10117,1992-03-19,9999-01-01
10118,1992-02-02,9999-01-01
10119,1993-12-09,1997-10-30
10120,1996-07-06,9999-01-01
10121,1989-05-03,9999-01-01
10122,1998-08-06,9999-01-01
10123,1993-01-15,9999-01-01
10124,1999-06-06,9999-01-01
10125,1990-10-26,1996-03-25
10126,1985-09-08,9999-01-01
10127,1991-05-17,9999-01-01
10128,1988-06-06,9999-01-01
10129,1996-01-16,9999-01-01
10130,1988-06-21,9999-01-01
10131,1999-09-17,1999-12-06
10132,1997-06-18,9999-01-01
10133,1985-12-15,9999-01-01
10134,1993-12-02,9999-01-01
10135,1990-01-04,9999-01-01
10136,1988-06-13,1999-09-20
10137,1985-02-18,9999-01-01
10138,1992-03-03,9999-01-01
10139,1998-03-15,9999-01-01
10140,1991-03-14,9999-01-01
10141,1998-07-23,9999-01-01
10142,1993-10-28,9999-01-01
10143,1988-09-30,9999-01-01
10144,1988-09-02,1993-08-10
10145,1999-11-03,9999-01-01
10146,1988-06-28,1990-09-07
10147,1987-12-18,9999-01-01
10148,1996-07-15,9999-01-01
10149,1994-01-28,1996-08-27
10150,1986-11-16,9999-01-01
10151,1992-12-12,9999-01-01
10152,1986-01-27,1987-08-03
10153,2000-01-08,9999-01-01
10154,1996-10-23,9999-01-01
10155,1990-07-12,9999-01-01
10156,1993-05-14,9999-01-01
10157,1997-12-10,9999-01-01
10158,1987-06-04,9999-01-01
10159,1996-06-12,9999-01-01
10160,1993-12-06,9999-01-01
10161,1991-06-09,1994-01-05
10162,1998-05-27,9999-01-01
10163,1992-02-02,9999-01-01
10164,2000-05-31,9999-01-01
10165,1988-05-17,9999-01-01
10166,1996-09-02,9999-01-01
10167,1992-04-04,9999-01-01
10168,1986-12-06,9999-01-01
10169,1998-06-28,9999-01-01
10170,1986-01-02,1989-02-06
10171,1996-08-05,9999-01-01
10172,1998-10-01,9999-01-01
10173,1992-03-21,9999-01-01
10174,1987-06-01,9999-01-01
10175,1988-09-24,1995-05-24
10176,1994-12-22,9999-01-01
10177,1993-02-06,1994-03-17
10178,1994-03-21,9999-01-01
10179,2000-01-25,9999-01-01
10180,1994-07-01,9999-01-01
10181,1988-06-22,9999-01-01
10182,1999-01-05,9999-01-01
10183,1996-08-11,9999-01-01
10184,1997-12-26,9999-01-01
10185,1986-03-01,9999-01-01
10186,1996-12-25,1997-08-16
10187,1991-06-01,9999-01-01
10188,1987-08-27,9999-01-01
10189,1992-09-13,1993-06-29
10190,1986-06-23,9999-01-01
10191,1986-04-10,9999-01-01
10192,1999-08-09,9999-01-01
10193,1996-09-21,9999-01-01
10194,1997-02-14,9999-01-01
10195,1985-02-15,2001-04-14
10196,1999-01-31,9999-01-01
10197,1994-06-28,9999-01-01
10198,1985-08-31,9999-01-01
10199,1998-02-07,9999-01-01
10200,2000-10-03,9999-01-01
10201,1992-11-10,9999-01-01
10202,1991-10-06,9999-01-01
10203,1989-04-06,9999-01-01
10204,1998-12-18,1999-03-08
10205,1993-08-23,9999-01-01
10206,1988-04-19,9999-01-01
10207,1992-10-11,9999-01-01
10208,1995-02-05,1999-05-15
10209,1999-08-07,9999-01-01
10210,1996-02-24,9999-01-01
10211,1991-11-22,9999-01-01
10212,1996-01-28,9999-01-01
10213,1994-10-06,9999-01-01
10214,1988-02-29,9999-01-01
10215,1991-11-23,9999-01-01
10216,1987-10-30,9999-01-01
10217,1986-05-12,1993-08-05
10218,1997-01-31,9999-01-01
10219,1994-10-23,9999-01-01
10220,1997-09-16,9999-01-01
10221,1988-06-08,2000-10-04
10222,1986-06-08,9999-01-01
10223,1998-04-01,9999-01-01
10224,1988-01-09,9999-01-01
10225,1995-12-14,9999-01-01
10226,1996-01-29,9999-01-01
10227,1994-11-01,9999-01-01
10228,1993-01-28,9999-01-01
10229,1996-02-20,2000-06-30
10230,1996-06-16,9999-01-01
10231,1998-09-09,9999-01-01
10232,1992-06-04,9999-01-01
10233,1994-04-29,9999-01-01
10234,1990-11-19,1999-08-06
10235,1995-04-06,9999-01-01
10236,1996-08-30,9999-01-01
10237,1989-08-11,2000-02-21
10238,1996-05-25,9999-01-01
10239,1996-05-04,9999-01-01
10240,1998-10-06,9999-01-01
10241,1988-06-12,9999-01-01
10242,1988-01-18,9999-01-01
10243,1986-06-07,9999-01-01
10244,1999-09-16,9999-01-01
10245,1994-04-21,1995-02-20
10246,1991-02-01,9999-01-01
10247,1992-08-14,9999-01-01
10248,1991-08-13,9999-01-01
10249,1998-04-13,9999-01-01
10250,1992-08-30,9999-01-01
10251,1992-06-25,9999-01-01
10252,1990-11-08,9999-01-01
10253,1985-02-21,1994-03-20
10254,1990-06-14,9999-01-01
10255,1993-05-12,1999-11-14
10256,1985-10-12,9999-01-01
10257,1997-07-16,9999-01-01
10258,1985-05-17,9999-01-01
10259,1994-08-15,1999-01-06
10260,1993-02-01,9999-01-01
10261,1996-09-11,1999-02-23
10262,1996-01-22,9999-01-01
10263,1996-12-21,9999-01-01
10264,1997-07-16,9999-01-01
10265,1997-09-12,9999-01-01
10266,1990-05-25,9999-01-01
10267,1997-04-26,9999-01-01
10268,1988-04-15,1990-08-17
10269,1988-07-24,9999-01-01
10270,1991-09-26,9999-01-01
10271,1986-05-23,9999-01-01
10272,1997-10-23,9999-01-01
10273,1985-11-06,9999-01-01
10274,1997-02-02,9999-01-01
10275,1987-09-08,9999-01-01
10276,1986-10-19,2000-02-04
10277,1985-06-16,9999-01-01
10278,1993-07-02,1997-02-14
10279,1999-07-11,9999-01-01
10280,1995-01-27,9999-01-01
10281,1994-12-03,9999-01-01
10282,1996-05-02,9999-01-01
10283,1988-05-25,9999-01-01
10284,1999-07-06,9999-01-01
10285,1995-05-25,9999-01-01
10286,1994-12-24,1999-01-24
10287,1997-09-05,9999-01-01
10288,1994-08-29,9999-01-01
10289,1993-03-12,2002-01-31
10290,1991-09-18,9999-01-01
10291,1987-03-30,9999-01-01
10292,1989-06-05,9999-01-01
10293,1992-12-12,9999-01-01
10294,1999-01-30,1999-05-04
10295,1995-06-19,9999-01-01
10296,1989-09-16,9999-01-01
10297,1986-05-28,9999-01-01
10298,2002-05-05,9999-01-01
10299,1990-01-10,9999-01-01
10300,1991-05-17,9999-01-01
10301,1988-05-23,9999-01-01
10302,1986-07-22,1999-11-09
10303,1990-02-05,2000-11-15
10304,1992-11-16,2002-05-08
10305,1988-10-31,1992-06-02
10306,1993-09-06,9999-01-01
10307,2000-01-21,9999-01-01
10308,1992-12-29,9999-01-01
10309,1997-05-02,9999-01-01
10310,1990-10-24,2001-07-26
10311,1998-11-04,9999-01-01
10312,1986-08-28,9999-01-01
10313,1994-10-10,9999-01-01
10314,1986-01-16,9999-01-01
10315,1987-08-28,9999-01-01
10316,1990-12-18,1991-01-02
10317,2000-07-05,9999-01-01
10318,1987-03-23,9999-01-01
10319,1994-06-18,9999-01-01
10320,1988-11-03,2001-12-23
10321,1995-07-24,1999-08-14
10322,1990-01-29,9999-01-01
10323,1991-06-06,9999-01-01
10324,1999-07-19,9999-01-01
10325,1990-09-20,9999-01-01
10326,1998-09-02,9999-01-01
10327,1988-05-10,1993-05-22
10328,1998-07-17,9999-01-01
10329,1986-01-20,9999-01-01
10330,1993-10-08,9999-01-01
10331,1986-10-29,9999-01-01
10332,1988-10-20,1997-03-07
10333,1993-01-16,9999-01-01
10334,1998-02-15,9999-01-01
10335,1999-11-07,9999-01-01
10336,1996-09-27,9999-01-01
10337,1998-04-25,9999-01-01
10338,1999-12-29,9999-01-01
10339,1989-11-30,9999-01-01
10340,1988-03-30,9999-01-01
10341,1987-04-29,1998-11-11
10342,1987-07-25,9999-01-01
10343,1997-10-03,9999-01-01
10344,2001-11-11,9999-01-01
10345,1993-11-08,9999-01-01
10346,1992-01-17,1996-04-20
10347,1998-02-20,9999-01-01
10348,1995-10-22,9999-01-01
10349,1991-09-28,9999-01-01
10350,1991-05-11,1998-01-16
10351,1995-05-01,9999-01-01
10352,1998-12-16,9999-01-01
10353,1989-08-24,9999-01-01
10354,2000-03-03,2002-01-01
10355,1996-01-26,9999-01-01
10356,1995-06-26,9999-01-01
10357,1994-04-04,9999-01-01
10358,1991-02-19,9999-01-01
10359,1998-07-20,9999-01-01
10360,1996-09-04,9999-01-01
10361,1986-10-23,9999-01-01
10362,1990-11-02,1997-07-16
10363,1987-05-18,1993-02-12
10364,1985-11-14,9999-01-01
10365,1987-10-22,1992-04-04
10366,1997-08-15,9999-01-01
10367,1991-06-24,9999-01-01
10368,1996-05-16,9999-01-01
10369,1994-09-05,9999-01-01
10370,1992-04-18,9999-01-01
10371,1989-11-28,9999-01-01
10372,1985-07-30,9999-01-01
10373,1997-04-26,9999-01-01
10374,1995-04-25,1996-03-29
10375,1994-05-29,9999-01-01
10376,1990-12-08,9999-01-01
10377,1996-08-24,9999-01-01
10378,1992-08-31,9999-01-01
10379,1996-07-15,9999-01-01
10380,1985-03-19,9999-01-01
10381,1991-12-04,9999-01-01
10382,1999-05-07,2000-10-27
10383,1991-06-19,9999-01-01
10384,1986-01-16,9999-01-01
10385,1992-12-20,1998-01-23
10386,1985-08-02,9999-01-01
10387,1994-01-07,9999-01-01
10388,1999-05-28,9999-01-01
10389,1999-05-13,9999-01-01
10390,1989-05-17,9999-01-01
10391,1993-01-28,9999-01-01
10392,1997-08-09,9999-01-01
10393,1989-06-23,9999-01-01
10394,1991-03-14,1991-08-25
10395,1998-08-10,2001-08-13
10396,1986-01-11,9999-01-01
10397,1993-05-21,9999-01-01
10398,1990-10-12,9999-01-01
10399,2000-01-26,9999-01-01
10400,1993-10-17,9999-01-01
10401,1999-10-25,2001-04-25
10402,1987-01-02,9999-01-01
10403,1995-03-07,2001-06-15
10404,1988-08-28,9999-01-01
10405,1998-09-26,2000-12-05
10406,1996-01-26,9999-01-01
10407,1999-10-30,9999-01-01
10408,1998-10-07,9999-01-01
10409,1997-09-26,9999-01-01
10410,1993-10-16,1996-07-21
10411,1989-09-02,9999-01-01
10412,2000-05-19,9999-01-01
10413,1991-12-27,9999-01-01
10414,1990-05-30,1994-12-02
10415,1993-10-25,9999-01-01
10416,1989-03-24,9999-01-01
10417,1999-06-27,9999-01-01
10418,1996-10-04,9999-01-01
10419,1992-04-25,2002-07-06
10420,1988-01-17,2000-07-09
10421,1990-04-07,9999-01-01
10422,1997-09-30,9999-01-01
10423,1999-05-27,9999-01-01
10424,1989-08-07,9999-01-01
10425,1995-05-07,2002-05-06
10426,1985-07-06,9999-01-01
10427,1994-10-03,9999-01-01
10428,1992-06-04,9999-01-01
10429,1988-09-23,9999-01-01
10430,1999-07-17,9999-01-01
10431,1987-10-08,9999-01-01
10432,1990-08-13,9999-01-01
10433,1992-11-26,9999-01-01
10434,1995-06-27,2002-06-22
10435,1996-06-08,9999-01-01
10436,1988-01-30,9999-01-01
10437,1996-04-12,9999-01-01
10438,1990-01-19,9999-01-01
10439,1993-05-01,9999-01-01
10440,2000-01-30,9999-01-01
10441,1988-07-12,9999-01-01
10442,1992-02-12,2001-03-13
10443,1989-08-01,2002-07-06
10444,1994-10-23,9999-01-01
10445,1987-11-04,9999-01-01
10446,1996-12-25,9999-01-01
10447,1988-12-29,2000-11-15
10448,1992-03-12,9999-01-01
10449,1996-03-12,9999-01-01
10450,1997-08-24,9999-01-01
10451,1988-03-12,9999-01-01
10452,1995-11-12,2001-10-11
10453,1985-04-02,9999-01-01
10454,1989-04-16,9999-01-01
10455,1995-02-19,9999-01-01
10456,2000-01-06,9999-01-01
10457,1999-10-23,9999-01-01
10458,1994-07-05,9999-01-01
10459,1998-06-14,9999-01-01
10460,1999-06-30,2001-04-15
10461,1987-08-03,9999-01-01
10462,1996-03-25,9999-01-01
10463,1994-02-17,9999-01-01
10464,1991-05-21,9999-01-01
10465,1994-12-11,9999-01-01
10466,1997-08-22,2000-08-15
10467,1992-05-22,1999-11-01
10468,1991-05-28,9999-01-01
10469,1992-12-26,9999-01-01
10470,1989-09-19,9999-01-01
10471,1990-11-18,9999-01-01
10472,1999-12-01,2002-01-02
10473,1997-09-23,9999-01-01
10474,1987-02-21,9999-01-01
10475,1992-05-13,1994-12-30
10476,1987-09-20,9999-01-01
10477,1997-05-26,9999-01-01
10478,1993-02-10,9999-01-01
10479,1993-07-24,9999-01-01
10480,1988-05-18,1989-06-03
10481,1989-10-03,9999-01-01
10482,1996-02-26,9999-01-01
10483,1993-11-10,9999-01-01
10484,1996-12-20,9999-01-01
10485,1996-01-21,9999-01-01
10486,1987-10-08,9999-01-01
10487,1992-08-14,9999-01-01
10488,1996-11-18,9999-01-01
10489,1989-09-10,1989-10-06
10490,1992-11-22,9999-01-01
10491,1990-01-17,9999-01-01
10492,1988-04-29,9999-01-01
10493,1998-10-29,9999-01-01
10494,1991-12-18,9999-01-01
10495,1989-09-24,9999-01-01
10496,1995-08-29,1999-01-26
10497,1992-01-22,9999-01-01
10498,1994-03-09,9999-01-01
10499,1998-03-16,9999-01-01
10500,1996-12-16,9999-01-01
10501,1988-09-08,9999-01-01
10502,1993-03-04,9999-01-01
10503,1997-03-13,9999-01-01
10504,1999-10-19,9999-01-01
10505,1985-07-23,1998-03-26
10506,1996-12-01,9999-01-01
10507,1990-09-30,9999-01-01
10508,1991-05-01,9999-01-01
10509,1992-10-06,9999-01-01
10510,1992-09-21,9999-01-01
10511,1992-01-27,9999-01-01
10512,1989-11-28,9999-01-01
10513,1991-04-02,9999-01-01
10514,1992-04-29,1995-04-02
10515,1990-01-06,1998-07-21
10516,1985-10-19,9999-01-01
10517,1990-12-25,9999-01-01
10518,1993-09-03,9999-01-01
10519,1994-02-09,2001-10-13
10520,1996-09-05,9999-01-01
10521,1989-05-11,9999-01-01
10522,1986-12-12,9999-01-01
10523,1989-12-23,9999-01-01
10524,1985-10-09,9999-01-01
10525,1990-07-08,1995-12-20
10526,1988-02-27,9999-01-01
10527,1996-01-25,9999-01-01
10528,1993-10-28,9999-01-01
10529,1999-06-12,9999-01-01
10530,1987-09-23,9999-01-01
10531,1995-03-16,9999-01-01
10532,1986-05-18,9999-01-01
10533,1990-08-17,9999-01-01
10534,1998-01-26,2001-03-03
10535,1991-08-22,9999-01-01
10536,1988-10-07,9999-01-01
10537,1996-09-25,9999-01-01
10538,1991-09-22,1998-12-13
10539,1990-06-05,9999-01-01
10540,1994-05-03,9999-01-01
10541,1986-02-28,1986-10-01
10542,1992-02-07,9999-01-01
10543,1998-11-24,9999-01-01
10544,1995-04-29,9999-01-01
10545,1990-06-30,9999-01-01
10546,1991-04-14,9999-01-01
10547,1988-02-14,1989-06-19
10548,1991-10-04,9999-01-01
10549,1996-10-11,9999-01-01
10550,1985-02-03,9999-01-01
10551,1988-08-06,9999-01-01
10552,1998-08-31,9999-01-01
10553,1990-07-22,9999-01-01
10554,1990-11-28,9999-01-01
10555,1992-05-22,1993-01-19
10556,1992-04-15,9999-01-01
10557,1994-08-25,9999-01-01
10558,1992-04-22,9999-01-01
10559,1999-04-05,9999-01-01
10560,1996-09-03,9999-01-01
10561,1997-06-30,9999-01-01
10562,1997-07-24,9999-01-01
10563,1992-09-29,2002-01-01
10564,1995-11-23,9999-01-01
10565,1996-08-05,9999-01-01
10566,1990-08-23,1997-10-26
10567,1997-02-17,9999-01-01
10568,1995-07-08,9999-01-01
10569,1987-03-13,9999-01-01
10570,1986-06-16,2000-03-25
10571,1985-02-24,9999-01-01
10572,1988-02-16,9999-01-01
10573,1999-08-20,9999-01-01
10574,1999-11-15,9999-01-01
10575,1988-10-04,2000-11-22
10576,1991-01-03,9999-01-01
10577,2001-08-01,9999-01-01
10578,1989-11-24,9999-01-01
10579,1991-06-02,9999-01-01
10580,1991-03-02,9999-01-01
10581,1994-04-13,9999-01-01
10582,1995-11-06,9999-01-01
10583,1985-02-14,1998-05-29
10584,1986-02-17,9999-01-01
10585,1994-08-24,9999-01-01
10586,1992-02-04,9999-01-01
10587,1991-11-20,9999-01-01
10588,1988-07-25,9999-01-01
10589,1994-01-26,9999-01-01
10590,1986-04-09,9999-01-01
10591,1987-06-18,1988-09-20
10592,1993-09-27,9999-01-01
10593,2000-03-29,9999-01-01
10594,1988-04-02,9999-01-01
10595,1989-11-24,9999-01-01
10596,1996-05-23,9999-01-01
10597,1990-04-01,9999-01-01
10598,1998-06-22,2000-09-27
10599,1991-11-17,9999-01-01
10600,1992-04-27,9999-01-01
10601,1999-07-24,2002-05-09
10602,1989-04-23,1993-11-06
10603,1995-07-20,9999-01-01
10604,2002-07-29,9999-01-01
10605,1993-07-01,9999-01-01
10606,1987-05-02,9999-01-01
10607,1996-01-13,9999-01-01
10608,1986-05-25,1991-06-02
10609,1994-12-03,9999-01-01
10610,1997-03-30,9999-01-01
10611,1989-09-16,9999-01-01
10612,1991-09-02,9999-01-01
10613,1997-10-13,9999-01-01
10614,1997-02-27,9999-01-01
10615,1996-03-10,9999-01-01
10616,1996-11-07,9999-01-01
10617,1991-10-30,2001-10-03
10618,1994-10-07,9999-01-01
10619,1993-04-09,9999-01-01
10620,1990-11-10,9999-01-01
10621,1992-02-10,9999-01-01
10622,1989-05-15,9999-01-01
10623,1996-02-11,9999-01-01
10624,1990-05-07,9999-01-01
10625,1986-07-15,1995-01-13
10626,1996-12-03,9999-01-01
10627,1995-03-13,9999-01-01
10628,1987-03-14,9999-01-01
10629,1999-10-20,2001-12-07
10630,1997-01-13,9999-01-01
10631,1994-10-18,9999-01-01
10632,1985-07-25,1987-11-20
10633,1997-05-16,9999-01-01
10634,1994-04-02,9999-01-01
10635,1991-09-22,1999-12-20
10636,1996-09-25,9999-01-01
10637,1993-07-11,2000-01-19
10638,1994-11-10,9999-01-01
10639,1992-10-25,9999-01-01
10640,1992-12-04,9999-01-01
10641,1993-03-21,9999-01-01
10642,1998-10-05,9999-01-01
10643,1987-11-11,9999-01-01
10644,1995-07-19,1995-08-25
10645,1988-03-01,9999-01-01
10646,1996-01-31,9999-01-01
10647,1997-09-03,9999-01-01
10648,1988-02-16,9999-01-01
10649,1998-06-23,9999-01-01
10650,1992-10-04,9999-01-01
10651,1996-01-08,9999-01-01
10652,1990-02-12,1992-01-13
10653,1987-04-30,9999-01-01
10654,1990-03-25,9999-01-01
10655,2000-11-22,9999-01-01
10656,1988-06-21,9999-01-01
10657,1992-03-26,9999-01-01
10658,1994-04-29,9999-01-01
10659,1995-06-01,9999-01-01
10660,1988-08-12,1991-07-12
10661,1988-01-12,9999-01-01
10662,1999-12-17,9999-01-01
10663,1999-02-12,9999-01-01
10664,1989-12-24,9999-01-01
10665,1988-01-23,2000-07-13
10666,1989-05-20,9999-01-01
10667,1999-07-28,9999-01-01
10668,1997-11-28,1999-09-03
10669,1996-11-17,9999-01-01
10670,1988-03-23,9999-01-01
10671,1995-09-14,9999-01-01
10672,1991-09-29,1996-04-19
10673,1997-11-18,1998-01-14
10674,1999-03-17,9999-01-01
10675,1993-02-02,9999-01-01
10676,1999-09-04,9999-01-01
10677,1999-10-13,9999-01-01
10678,1987-08-02,9999-01-01
10679,1990-05-13,9999-01-01
10680,1992-11-21,1998-12-08
10681,2002-01-08,9999-01-01
10682,1990-11-09,9999-01-01
10683,1997-06-23,9999-01-01
10684,1999-10-28,9999-01-01
10685,1995-12-27,1996-10-20
10686,1987-05-17,9999-01-01
10687,1990-03-13,9999-01-01
10688,1986-04-13,9999-01-01
10689,1988-08-05,9999-01-01
10690,1995-10-04,9999-01-01
10691,1989-09-17,9999-01-01
10692,1993-03-22,9999-01-01
10693,1986-01-08,9999-01-01
10694,1988-01-26,2001-07-11
10695,1998-05-19,9999-01-01
10696,1991-09-09,9999-01-01
10697,1999-08-29,9999-01-01
10698,1994-12-08,9999-01-01
10699,1985-11-17,9999-01-01
10700,1998-04-14,2002-06-27
10701,1989-10-07,9999-01-01
10702,1991-01-14,9999-01-01
10703,1996-05-12,9999-01-01
10704,1995-02-17,9999-01-01
10705,1990-07-18,9999-01-01
10706,1994-05-03,2001-04-08
10707,1990-12-24,9999-01-01
10708,1999-11-09,9999-01-01
10709,1988-02-21,9999-01-01
10710,1995-07-09,9999-01-01
10711,1991-06-21,9999-01-01
10712,1994-08-18,9999-01-01
10713,1986-04-26,2001-02-21
10714,1999-11-24,9999-01-01
10715,1999-10-28,9999-01-01
10716,1987-08-12,9999-01-01
10717,1991-09-13,9999-01-01
10718,1988-07-21,9999-01-01
10719,1995-09-05,1999-07-31
10720,2001-08-05,9999-01-01
10721,1999-07-15,9999-01-01
10722,1989-01-17,2000-04-14
10723,1997-07-14,9999-01-01
10724,1995-12-07,9999-01-01
10725,1990-09-08,9999-01-01
10726,1992-02-25,9999-01-01
10727,1991-01-08,2000-06-06
10728,1989-12-09,9999-01-01
10729,1986-04-20,9999-01-01
10730,1996-05-27,1998-06-07
10731,1987-02-20,2000-10-09
10732,1994-12-21,9999-01-01
10733,1996-02-20,9999-01-01
10734,1995-12-19,9999-01-01
10735,1985-10-29,9999-01-01
10736,1991-09-26,9999-01-01
10737,1999-06-22,9999-01-01
10738,1992-01-06,9999-01-01
10739,1985-03-30,9999-01-01
10740,1996-04-30,2002-03-17
10741,1989-01-06,9999-01-01
10742,1997-04-03,9999-01-01
10743,1999-11-05,9999-01-01
10744,1985-12-29,1992-06-03
10745,1988-01-23,9999-01-01
10746,1990-08-31,9999-01-01
10747,1990-10-08,1999-09-20
10748,1992-04-04,9999-01-01
10749,1985-09-26,9999-01-01
10750,1998-11-06,9999-01-01
10751,1999-12-14,2000-12-05
10752,1993-05-28,9999-01-01
10753,1985-05-17,1999-08-25
10754,1988-01-11,9999-01-01
10755,1995-04-01,2001-11-13
10756,2000-12-16,9999-01-01
10757,1986-01-06,1991-10-18
10758,1999-07-01,9999-01-01
10759,1991-12-04,9999-01-01
10760,1997-08-22,9999-01-01
10761,1992-05-30,1999-01-04
10762,1992-01-21,9999-01-01
10763,1987-02-23,9999-01-01
10764,1989-11-27,9999-01-01
10765,1994-05-08,1994-05-11
10766,1999-09-18,9999-01-01
10767,1997-07-15,9999-01-01
10768,1985-07-04,9999-01-01
10769,1991-08-30,9999-01-01
10770,1987-12-25,1989-02-27
10771,1996-04-01,9999-01-01
10772,1990-02-22,9999-01-01
10773,1997-02-09,1997-11-29
10774,1990-01-26,9999-01-01
10775,1999-03-17,9999-01-01
10776,1986-03-16,9999-01-01
10777,1990-03-17,2001-03-27
10778,1986-07-04,9999-01-01
10779,1988-01-11,9999-01-01
10780,1994-08-01,1996-08-18
10781,1991-02-04,9999-01-01
10782,1997-07-06,2002-03-30
10783,1994-05-15,9999-01-01
10784,1998-10-14,9999-01-01
10785,1994-11-11,9999-01-01
10786,2001-12-10,9999-01-01
10787,1991-07-19,2002-07-27
10788,1998-05-29,9999-01-01
10789,1998-01-26,9999-01-01
10790,1999-03-02,9999-01-01
10791,1988-07-30,9999-01-01
10792,1985-08-10,1993-12-20
10793,1990-09-18,9999-01-01
10794,1994-05-24,9999-01-01
10795,1993-05-03,9999-01-01
10796,1990-11-08,9999-01-01
10797,1997-06-02,9999-01-01
10798,1996-09-21,9999-01-01
10799,1989-03-01,9999-01-01
10800,1993-05-20,9999-01-01
10801,1998-04-07,2001-01-15
10802,1985-08-24,9999-01-01
10803,1988-04-20,2002-04-02
10804,1997-06-09,9999-01-01
10805,1987-05-26,9999-01-01
10806,1994-04-08,9999-01-01
10807,1999-10-19,9999-01-01
10808,1987-03-07,9999-01-01
10809,1988-02-25,9999-01-01
10810,1994-09-07,9999-01-01
10811,1997-07-08,9999-01-01
10812,1996-09-20,1997-10-06
10813,1990-04-27,9999-01-01
10814,1993-07-17,9999-01-01
10815,1994-04-19,9999-01-01
10816,1991-05-22,9999-01-01
10817,2000-01-24,9999-01-01
10818,1998-04-09,9999-01-01
10819,1986-08-02,1999-12-28
10820,1992-06-26,9999-01-01
10821,1988-10-06,1990-04-17
10822,1986-01-11,9999-01-01
